signal_name,timestamp_utc,log_time_assumption,log_timestamp_offset_hours_applied,direction,strength,asset,timeframe,position_ticket,provenance,source_file
SEM_FONTE,2026-05-05 03:48:25,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,XRPUSD,H1,182957367,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:30:28,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,AUDJPY,H4,182922043,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:30:28,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,AUDJPY,H4,182922063,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:30:28,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,NZDUSD,H4,182923578,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:30:28,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,GBPJPY,H4,182989543,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:30:28,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,GBPJPY,H4,182989561,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:31:34,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,XRPUSD,H4,182991137,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:32:56,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,XRPUSD,H1,182991139,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:45:55,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,XRPUSD,H1,182995979,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:48:10,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,NZDUSD,H1,182996197,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:54:35,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,CHFJPY,M5,182994762,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:56:08,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,GBPJPY,M5,182996341,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:56:08,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,GBPJPY,M5,182996349,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 04:56:22,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,CHFJPY,H1,182964088,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 05:06:55,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,XRPUSD,M5,182994923,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 05:24:52,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,BTCUSD,H1,182978568,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 05:24:57,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,BTCUSD,H4,182977963,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
SEM_FONTE,2026-05-05 05:35:08,trade_feedback_iso_ts_converted_to_utc_naive,0,NA,,NZDUSD,H1,183000457,trade_feedback:position_closed;signal_source_null_or_SEM_FONTE,audit/paper/trade_feedback.jsonl
