0
"(1774319880, 69.668, 69.709, 69.592, 69.596, 118, 59, 0)"
"(1774319940, 69.596, 69.647, 69.595, 69.606, 103, 46, 0)"
"(1774320000, 69.608, 69.646, 69.435, 69.496, 120, 43, 0)"
"(1774320060, 69.499, 69.563, 69.476, 69.548, 109, 69, 0)"
"(1774320120, 69.547, 69.655, 69.525, 69.645, 119, 60, 0)"
"(1774320180, 69.645, 69.696, 69.634, 69.694, 88, 39, 0)"
"(1774320240, 69.675, 69.719, 69.646, 69.685, 110, 39, 0)"
"(1774320300, 69.684, 69.71, 69.417, 69.508, 135, 51, 0)"
"(1774320360, 69.514, 69.621, 69.51, 69.613, 152, 69, 0)"
"(1774320420, 69.597, 69.686, 69.597, 69.685, 111, 47, 0)"
"(1774320480, 69.682, 69.778, 69.68, 69.778, 127, 44, 0)"
"(1774320540, 69.777, 69.789, 69.707, 69.771, 123, 44, 0)"
"(1774320600, 69.773, 69.823, 69.677, 69.733, 114, 46, 0)"
"(1774320660, 69.735, 69.766, 69.632, 69.667, 105, 49, 0)"
"(1774320720, 69.667, 69.716, 69.643, 69.716, 98, 39, 0)"
"(1774320780, 69.714, 69.733, 69.659, 69.733, 111, 42, 0)"
"(1774320840, 69.732, 69.85, 69.689, 69.755, 124, 42, 0)"
"(1774320900, 69.753, 69.76, 69.587, 69.612, 114, 69, 0)"
"(1774320960, 69.613, 69.613, 69.499, 69.588, 118, 56, 0)"
"(1774321020, 69.591, 69.661, 69.573, 69.583, 100, 54, 0)"
"(1774321080, 69.58, 69.645, 69.574, 69.628, 133, 41, 0)"
"(1774321140, 69.63, 69.783, 69.601, 69.739, 121, 35, 0)"
"(1774321200, 69.738, 69.917, 69.683, 69.685, 216, 35, 0)"
"(1774321260, 69.68, 69.695, 69.477, 69.485, 152, 69, 0)"
"(1774321320, 69.484, 69.535, 69.345, 69.345, 155, 69, 0)"
"(1774321380, 69.352, 69.446, 69.309, 69.339, 155, 69, 0)"
"(1774321440, 69.34, 69.367, 69.255, 69.306, 134, 57, 0)"
"(1774321500, 69.298, 69.378, 69.286, 69.322, 139, 52, 0)"
"(1774321560, 69.327, 69.418, 69.284, 69.351, 159, 52, 0)"
"(1774321620, 69.339, 69.425, 69.301, 69.358, 143, 56, 0)"
"(1774321680, 69.361, 69.379, 69.296, 69.303, 132, 44, 0)"
"(1774321740, 69.297, 69.32, 69.19, 69.216, 139, 46, 0)"
"(1774321800, 69.216, 69.299, 69.208, 69.257, 138, 45, 0)"
"(1774321860, 69.257, 69.321, 69.244, 69.282, 125, 39, 0)"
"(1774321920, 69.281, 69.286, 69.053, 69.096, 144, 49, 0)"
"(1774321980, 69.093, 69.192, 69.055, 69.125, 134, 66, 0)"
"(1774322040, 69.121, 69.121, 68.915, 68.962, 138, 46, 0)"
"(1774322100, 68.962, 68.984, 68.802, 68.842, 168, 53, 0)"
"(1774322160, 68.842, 68.913, 68.71, 68.711, 151, 52, 0)"
"(1774322220, 68.708, 68.708, 68.526, 68.555, 154, 60, 0)"
"(1774322280, 68.554, 68.635, 68.485, 68.597, 152, 55, 0)"
"(1774322340, 68.601, 68.768, 68.56, 68.738, 143, 54, 0)"
"(1774322400, 68.735, 68.735, 68.486, 68.545, 168, 52, 0)"
"(1774322460, 68.55, 68.789, 68.538, 68.756, 148, 50, 0)"
"(1774322520, 68.759, 68.818, 68.729, 68.753, 144, 40, 0)"
"(1774322580, 68.754, 68.793, 68.689, 68.692, 141, 39, 0)"
"(1774322640, 68.693, 68.864, 68.692, 68.729, 153, 44, 0)"
"(1774322700, 68.728, 68.747, 68.631, 68.717, 132, 49, 0)"
"(1774322760, 68.719, 68.807, 68.566, 68.598, 161, 45, 0)"
"(1774322820, 68.611, 68.643, 68.352, 68.451, 170, 57, 0)"
"(1774322880, 68.443, 68.517, 68.214, 68.393, 168, 69, 0)"
"(1774322940, 68.393, 68.481, 68.393, 68.415, 129, 49, 0)"
"(1774323000, 68.417, 68.542, 68.396, 68.416, 151, 47, 0)"
"(1774323060, 68.417, 68.52, 68.416, 68.469, 162, 48, 0)"
"(1774323120, 68.48, 68.485, 68.044, 68.044, 173, 49, 0)"
"(1774323180, 68.048, 68.123, 68.017, 68.028, 154, 46, 0)"
"(1774323240, 68.031, 68.088, 67.807, 68.07, 174, 44, 0)"
"(1774323300, 68.083, 68.227, 68.082, 68.121, 156, 58, 0)"
"(1774323360, 68.123, 68.27, 68.118, 68.25, 156, 45, 0)"
"(1774323420, 68.235, 68.327, 68.093, 68.312, 151, 41, 0)"
"(1774323480, 68.308, 68.328, 67.922, 67.922, 160, 62, 0)"
"(1774323540, 67.928, 68.062, 67.595, 68.029, 177, 69, 0)"
"(1774323600, 68.059, 68.066, 67.643, 67.97, 180, 69, 0)"
"(1774323660, 67.972, 68.112, 67.964, 68.015, 162, 63, 0)"
"(1774323720, 68.03, 68.137, 67.997, 68.06, 162, 46, 0)"
"(1774323780, 68.061, 68.061, 67.794, 67.823, 162, 49, 0)"
"(1774323840, 67.826, 67.826, 67.651, 67.683, 165, 46, 0)"
"(1774323900, 67.69, 68.023, 67.69, 68.017, 153, 41, 0)"
"(1774323960, 68.018, 68.091, 67.916, 68.017, 168, 51, 0)"
"(1774324020, 68.011, 68.031, 67.94, 67.999, 151, 43, 0)"
"(1774324080, 68., 68.044, 67.956, 67.999, 158, 39, 0)"
"(1774324140, 68.002, 68.032, 67.931, 67.987, 145, 39, 0)"
"(1774324200, 67.986, 68.167, 67.975, 68.119, 160, 39, 0)"
"(1774324260, 68.095, 68.191, 68.051, 68.12, 158, 41, 0)"
"(1774324320, 68.114, 68.18, 68.095, 68.169, 136, 39, 0)"
"(1774324380, 68.168, 68.414, 68.168, 68.372, 162, 39, 0)"
"(1774324440, 68.373, 68.387, 68.318, 68.382, 134, 39, 0)"
"(1774324500, 68.38, 68.483, 68.364, 68.463, 148, 39, 0)"
"(1774324560, 68.46, 68.461, 68.311, 68.333, 149, 43, 0)"
"(1774324620, 68.344, 68.413, 68.338, 68.356, 144, 43, 0)"
"(1774324680, 68.358, 68.449, 68.314, 68.427, 140, 39, 0)"
"(1774324740, 68.429, 68.443, 68.167, 68.167, 170, 55, 0)"
"(1774324800, 68.144, 68.6, 68.131, 68.263, 205, 61, 0)"
"(1774324860, 68.257, 68.327, 67.927, 68.323, 198, 69, 0)"
