0
"(1774326120, 4356.95, 4360.56, 4352.67, 4360.11, 612, 12, 0)"
"(1774326180, 4360.1, 4361.79, 4356.93, 4357.18, 574, 12, 0)"
"(1774326240, 4357.16, 4362.38, 4357.11, 4360.52, 442, 12, 0)"
"(1774326300, 4360.6, 4369.03, 4360.55, 4366.13, 570, 12, 0)"
"(1774326360, 4366.2, 4366.2, 4360.44, 4362.24, 518, 12, 0)"
"(1774326420, 4362.26, 4362.66, 4353.12, 4360.08, 608, 12, 0)"
"(1774326480, 4360.27, 4365.97, 4360.09, 4362.36, 548, 12, 0)"
"(1774326540, 4362.35, 4363.67, 4354.7, 4354.84, 526, 12, 0)"
"(1774326600, 4354.81, 4357.29, 4350.11, 4352.69, 629, 12, 0)"
"(1774326660, 4352.71, 4359.35, 4352.25, 4356.76, 587, 12, 0)"
"(1774326720, 4356.73, 4359.75, 4354.18, 4356.28, 512, 12, 0)"
"(1774326780, 4356.29, 4359.94, 4353.18, 4355.19, 562, 12, 0)"
"(1774326840, 4355.25, 4361.67, 4353.8, 4360.64, 533, 12, 0)"
"(1774326900, 4360.65, 4365.57, 4358.2, 4363.16, 607, 12, 0)"
"(1774326960, 4363.15, 4368.4, 4362.3, 4362.84, 573, 12, 0)"
"(1774327020, 4363.04, 4363.96, 4355.82, 4356.87, 555, 12, 0)"
"(1774327080, 4356.88, 4359.46, 4354.9, 4355.94, 527, 12, 0)"
"(1774327140, 4355.86, 4357.78, 4350.34, 4351.16, 587, 12, 0)"
"(1774327200, 4351.79, 4353.05, 4349.83, 4350.54, 482, 12, 0)"
"(1774327260, 4351.05, 4351.55, 4334.2, 4334.37, 658, 12, 0)"
"(1774327320, 4334.32, 4335.25, 4330.33, 4330.33, 626, 12, 0)"
"(1774327380, 4330.35, 4330.81, 4324.45, 4326.2, 593, 12, 0)"
"(1774327440, 4326.4, 4329.35, 4321.5, 4321.77, 533, 12, 0)"
"(1774327500, 4321.66, 4327.85, 4319.18, 4326.01, 599, 12, 0)"
"(1774327560, 4325.98, 4328.19, 4322.88, 4324.56, 544, 12, 0)"
"(1774327620, 4324.58, 4326.04, 4308.13, 4312.52, 621, 12, 0)"
"(1774327680, 4312.51, 4322.61, 4312.51, 4320.68, 625, 12, 0)"
"(1774327740, 4320.73, 4321.11, 4313.85, 4314.56, 609, 12, 0)"
"(1774327800, 4314.55, 4321.19, 4313.99, 4318.52, 593, 12, 0)"
"(1774327860, 4318.52, 4326.72, 4316.07, 4326.47, 597, 12, 0)"
"(1774327920, 4326.51, 4332.09, 4326.42, 4332.08, 555, 12, 0)"
"(1774327980, 4332.1, 4332.1, 4327.77, 4330.1, 523, 12, 0)"
"(1774328040, 4330.14, 4331.87, 4322.55, 4326.22, 580, 12, 0)"
"(1774328100, 4326.26, 4327.45, 4323.83, 4325.62, 564, 12, 0)"
"(1774328160, 4325.5, 4331.21, 4324.11, 4327.47, 568, 12, 0)"
"(1774328220, 4327.51, 4328.28, 4322.19, 4327.32, 555, 12, 0)"
"(1774328280, 4327.3, 4331.3, 4319.86, 4326.29, 633, 12, 0)"
"(1774328340, 4326.11, 4328.55, 4322.12, 4322.17, 643, 12, 0)"
"(1774328400, 4322.2, 4325.52, 4314.08, 4314.67, 628, 12, 0)"
"(1774328460, 4314.59, 4326.78, 4314.13, 4325.74, 675, 12, 0)"
"(1774328520, 4325.75, 4329.89, 4325.14, 4327.77, 612, 12, 0)"
"(1774328580, 4327.93, 4336.71, 4326.08, 4330.3, 607, 12, 0)"
"(1774328640, 4330.29, 4333.97, 4330.02, 4333.02, 545, 12, 0)"
"(1774328700, 4333.15, 4333.15, 4320.32, 4323.77, 626, 12, 0)"
"(1774328760, 4323.95, 4331.29, 4322.56, 4329.79, 608, 12, 0)"
"(1774328820, 4329.78, 4332.63, 4327.92, 4330.32, 532, 12, 0)"
"(1774328880, 4330.33, 4331.42, 4320.98, 4324.23, 616, 12, 0)"
"(1774328940, 4324.19, 4324.81, 4318.95, 4322.18, 561, 12, 0)"
