timestamp_utc,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
2026-05-04 17:16:58,182720139,2026-05-04T17:16:58+00:00,1777915018562,2026-05-04T17:16:58+00:00,1777915018562,1970-01-01T00:00:00+00:00,0,0,1,4,0,182719540,0,4,0.1,0.0,78985.43,0.0,0.0,78985.43,0.0,BTCUSD,[sl 78985.43],
2026-05-04 17:17:34,182720672,2026-05-04T17:17:34+00:00,1777915054103,2026-05-04T17:17:34+00:00,1777915054103,1970-01-01T00:00:00+00:00,1,0,1,4,0,182720672,0,3,0.1,0.0,0.0,79006.29,77988.04,78989.79,0.0,BTCUSD,OV2|28882c|H1|S,
2026-05-04 17:17:39,182720712,2026-05-04T17:17:39+00:00,1777915059727,2026-05-04T17:17:39+00:00,1777915059728,1970-01-01T00:00:00+00:00,1,0,1,4,0,182720712,0,3,0.03,0.0,0.0,4569.35,4534.97,4566.85,0.0,XAUUSD,OV2|6a4572|H1|S,
2026-05-04 17:17:53,182720764,2026-05-04T17:17:53+00:00,1777915073624,2026-05-04T17:17:53+00:00,1777915073624,1970-01-01T00:00:00+00:00,0,0,1,4,0,182720672,0,4,0.1,0.0,79006.29,0.0,0.0,79006.29,0.0,BTCUSD,[sl 79006.29],
2026-05-04 17:18:39,182721189,2026-05-04T17:18:39+00:00,1777915119532,2026-05-04T17:18:39+00:00,1777915119532,1970-01-01T00:00:00+00:00,0,0,1,4,0,182719695,0,4,0.03,0.0,4569.21,0.0,0.0,4569.21,0.0,XAUUSD,[sl 4569.21],
2026-05-04 17:18:39,182721190,2026-05-04T17:18:39+00:00,1777915119532,2026-05-04T17:18:39+00:00,1777915119533,1970-01-01T00:00:00+00:00,0,0,1,4,0,182720712,0,4,0.03,0.0,4569.35,0.0,0.0,4569.35,0.0,XAUUSD,[sl 4569.35],
2026-05-04 17:18:54,182721862,2026-05-04T17:18:54+00:00,1777915134100,2026-05-04T17:18:54+00:00,1777915134100,1970-01-01T00:00:00+00:00,1,0,1,4,0,182721862,0,3,0.05,0.0,0.0,4573.93,4539.32,4571.42,0.0,XAUUSD,OV2|874c16|H1|S,
2026-05-04 17:18:59,182721957,2026-05-04T17:18:59+00:00,1777915139563,2026-05-04T17:18:59+00:00,1777915139563,1970-01-01T00:00:00+00:00,1,0,1,4,0,182721957,0,3,0.1,0.0,0.0,79036.92,78065.33,79018.42,0.0,BTCUSD,OV2|953a7a|H1|S,
2026-05-04 17:19:00,182722096,2026-05-04T17:19:00+00:00,1777915140662,2026-05-04T17:19:00+00:00,1777915140663,1970-01-01T00:00:00+00:00,0,0,1,4,0,182721862,0,4,0.05,0.0,4573.93,0.0,0.0,4573.93,0.0,XAUUSD,[sl 4573.93],
2026-05-04 17:19:01,182722149,2026-05-04T17:19:01+00:00,1777915141167,2026-05-04T17:19:01+00:00,1777915141168,1970-01-01T00:00:00+00:00,0,0,1,4,0,182721957,0,4,0.1,0.0,79036.92,0.0,0.0,79036.92,0.0,BTCUSD,[sl 79036.92],
2026-05-04 17:21:28,182724396,2026-05-04T17:21:28+00:00,1777915288112,2026-05-04T17:21:28+00:00,1777915288112,1970-01-01T00:00:00+00:00,0,0,1,4,0,182724396,0,3,0.05,0.0,0.0,4573.45,4608.28,4575.9,0.0,XAUUSD,OV2|0711ad|H1|B,
2026-05-04 17:21:36,182724445,2026-05-04T17:21:36+00:00,1777915296139,2026-05-04T17:21:36+00:00,1777915296139,1970-01-01T00:00:00+00:00,0,0,1,4,0,182724445,0,3,0.1,0.0,0.0,79034.86,79975.83,79053.36,0.0,BTCUSD,OV2|f589f5|H1|B,
2026-05-04 17:22:42,182726283,2026-05-04T17:22:42+00:00,1777915362339,2026-05-04T17:22:42+00:00,1777915362339,1970-01-01T00:00:00+00:00,0,0,1,4,0,182726283,0,3,0.05,0.0,0.0,79168.11,80156.1,79190.59,0.0,BTCUSD,OV2|e2f34b|H1|B,
2026-05-04 17:22:53,182726380,2026-05-04T17:22:53+00:00,1777915373221,2026-05-04T17:22:53+00:00,1777915373221,1970-01-01T00:00:00+00:00,0,0,1,4,0,182726380,0,3,0.05,0.0,0.0,4579.18,4616.18,4581.68,0.0,XAUUSD,OV2|6a937e|H1|B,
2026-05-04 17:22:59,182726426,2026-05-04T17:22:59+00:00,1777915379137,2026-05-04T17:22:59+00:00,1777915379137,1970-01-01T00:00:00+00:00,1,0,1,4,0,182726283,0,4,0.05,0.0,79168.11,0.0,0.0,79168.11,0.0,BTCUSD,[sl 79168.11],
2026-05-04 17:23:50,182727063,2026-05-04T17:23:50+00:00,1777915430180,2026-05-04T17:23:50+00:00,1777915430180,1970-01-01T00:00:00+00:00,1,0,1,4,0,182726380,0,4,0.05,0.0,4579.18,0.0,0.0,4579.18,0.0,XAUUSD,[sl 4579.18],
2026-05-04 17:24:04,182727374,2026-05-04T17:24:04+00:00,1777915444844,2026-05-04T17:24:04+00:00,1777915444845,1970-01-01T00:00:00+00:00,0,0,1,4,0,182727374,0,3,0.05,0.0,0.0,79216.65,80212.54,79233.15,0.0,BTCUSD,OV2|411375|H1|B,
2026-05-04 17:24:07,182727455,2026-05-04T17:24:07+00:00,1777915447679,2026-05-04T17:24:07+00:00,1777915447679,1970-01-01T00:00:00+00:00,0,0,1,4,0,182727455,0,3,0.05,0.0,0.0,4574.54,4609.44,4577.04,0.0,XAUUSD,OV2|49b333|H1|B,
2026-05-04 17:24:23,182727765,2026-05-04T17:24:23+00:00,1777915463231,2026-05-04T17:24:23+00:00,1777915463231,1970-01-01T00:00:00+00:00,1,0,1,4,0,182727455,0,4,0.05,0.0,4574.54,0.0,0.0,4574.54,0.0,XAUUSD,[sl 4574.54],
