symbol,timeframe,bars,from,to,file
GBPUSD,M15,205,2026-02-27 23:30,2026-03-04 02:30,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\GBPUSD\GBPUSD_M15.csv
GBPUSD,H1,51,2026-03-02 00:00,2026-03-04 02:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\GBPUSD\GBPUSD_H1.csv
GBPUSD,H4,13,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\GBPUSD\GBPUSD_H4.csv
GBPUSD,D1,3,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\GBPUSD\GBPUSD_D1.csv
EURUSD,M1,4317,2026-02-27 23:28,2026-03-04 23:27,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\EURUSD\EURUSD_M1.csv
EURUSD,M5,864,2026-02-27 23:30,2026-03-04 23:25,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\EURUSD\EURUSD_M5.csv
EURUSD,M15,288,2026-02-27 23:30,2026-03-04 23:15,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\EURUSD\EURUSD_M15.csv
EURUSD,H1,72,2026-03-02 00:00,2026-03-04 23:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\EURUSD\EURUSD_H1.csv
EURUSD,H4,18,2026-03-02 00:00,2026-03-04 20:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\EURUSD\EURUSD_H4.csv
EURUSD,D1,3,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\EURUSD\EURUSD_D1.csv
XAGUSD,M1,4140,2026-02-27 23:28,2026-03-04 23:27,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\XAGUSD\XAGUSD_M1.csv
XAGUSD,M5,828,2026-02-27 23:30,2026-03-04 23:25,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\XAGUSD\XAGUSD_M5.csv
XAGUSD,M15,276,2026-02-27 23:30,2026-03-04 23:15,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\XAGUSD\XAGUSD_M15.csv
XAGUSD,H1,69,2026-03-02 01:00,2026-03-04 23:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\XAGUSD\XAGUSD_H1.csv
XAGUSD,H4,18,2026-03-02 00:00,2026-03-04 20:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\XAGUSD\XAGUSD_H4.csv
XAGUSD,D1,3,2026-03-02 00:00,2026-03-04 00:00,C:\Users\Lenovo\.gemini\antigravity\playground\nebular-kuiper\OHLCV_DATA\XAGUSD\XAGUSD_D1.csv
