ts_open,ts_close,duration_s,dir,size,open_price,close_price,pnl_gross,spread_cost,slippage_cost,commission_cost,swap_cost,total_cost,pnl_net,reason_exit,z_price,state,pnl_net_fx,is_win,churn_flag,equity,dd,dd_pct
2021-09-14 18:00:00,2021-09-14 19:00:00,3600.0,buy,0.002,1805.66,1803.54,-0.4240000000000237,0.05,0.01,0.014,0.0012,0.0753,-0.4993000000000237,ALPHA_EJECT,0.7358922913729757,AUDITED,-0.4993000000000237,False,False,9395.0326,688.3148000000001,6.826252956433892
2021-09-16 16:00:00,2021-09-16 20:00:00,14400.0,buy,0.002,1752.97,1756.15,0.6360000000000128,0.05,0.01,0.014,0.005,0.079,0.5570000000000128,ALPHA_EJECT,0.0013217818186239,AUDITED,0.5570000000000128,True,False,9395.5896,687.7578000000012,6.820728997197907
2021-09-17 17:00:00,2021-09-17 20:00:00,10800.0,buy,0.002,1751.37,1750.67,-0.1399999999999636,0.05,0.01,0.014,0.0037,0.0778,-0.2177999999999636,ALPHA_EJECT,0.4782511706318983,AUDITED,-0.2177999999999636,False,False,9395.3718,687.9755999999998,6.822888994184607
2021-09-24 17:00:00,2021-09-24 20:00:00,10800.0,buy,0.002,1748.97,1749.63,0.1320000000000163,0.05,0.01,0.014,0.0037,0.0778,0.0542000000000163,ALPHA_EJECT,-0.0575571711025639,AUDITED,0.0542000000000163,True,False,9395.426,687.9214000000011,6.822351474273327
2021-09-28 17:00:00,2021-09-28 22:00:00,18000.0,buy,0.002,1732.87,1733.34,0.0940000000000054,0.05,0.01,0.014,0.0063,0.0803,0.0137000000000054,ALPHA_EJECT,-0.1406448048985754,AUDITED,0.0137000000000054,True,False,9395.439699999999,687.9077000000016,6.822215606694276
2021-09-29 18:00:00,2021-09-29 19:00:00,3600.0,buy,0.002,1730.58,1724.53,-1.2099999999999909,0.05,0.01,0.014,0.0012,0.0753,-1.2852999999999908,ALPHA_EJECT,0.7305839335135235,AUDITED,-1.2852999999999908,False,False,9394.1544,689.1930000000011,6.83496236577152
2021-10-08 16:00:00,2021-10-08 17:00:00,3600.0,buy,0.002,1772.52,1758.82,-2.740000000000009,0.05,0.01,0.014,0.0012,0.0753,-2.815300000000009,STOP_LOSS,1.841031406206989,AUDITED,-2.815300000000009,False,False,9391.3391,692.0083000000013,6.862882657400074
2021-10-12 17:00:00,2021-10-12 18:00:00,3600.0,buy,0.002,1762.49,1760.7,-0.3579999999999927,0.05,0.01,0.014,0.0012,0.0753,-0.4332999999999928,ALPHA_EJECT,1.637083789472896,AUDITED,-0.4332999999999928,False,False,9390.9058,692.4416000000001,6.867179841487957
2021-10-12 20:00:00,2021-10-12 21:00:00,3600.0,buy,0.002,1759.32,1759.22,-0.0199999999999818,0.05,0.01,0.014,0.0012,0.0753,-0.0952999999999818,ALPHA_EJECT,0.1550479309190891,AUDITED,-0.0952999999999818,False,False,9390.8105,692.536900000001,6.868124964136422
2021-10-13 17:00:00,2021-10-13 19:00:00,7200.0,buy,0.002,1792.7,1792.48,-0.0440000000000054,0.05,0.01,0.014,0.0025,0.0765,-0.1205000000000054,ALPHA_EJECT,1.0962586097945572,AUDITED,-0.1205000000000054,False,False,9390.69,692.6574,6.869320003791598
