time,Y,X,Beta,Spread,Z_Score
2026-03-20 15:57:00,4679.71,71.852,27.04626596967943,10.981161696846357,0.9953039088456087
2026-03-20 15:58:00,4679.24,71.833,27.001378097310145,10.981068405490078,0.9757712598505179
2026-03-20 15:59:00,4678.35,71.853,26.95924357256043,9.508223217150771,0.8147139723684946
2026-03-20 16:00:00,4672.61,71.791,26.921073131502748,5.400119227494542,0.39807003794533263
2026-03-20 16:01:00,4675.47,72.148,26.88207976658903,-1.3647779536659073,-0.28299631483890114
2026-03-20 16:02:00,4671.76,71.983,26.85823634446536,-0.6384293768524003,-0.20669350390582567
2026-03-20 16:03:00,4675.89,72.182,26.847336863305266,-1.8500774266340159,-0.32788881993078534
2026-03-20 16:04:00,4670.52,71.946,26.835893001694558,-0.8806449753074048,-0.2247244509192784
2026-03-20 16:05:00,4667.89,71.706,26.839777318029988,2.9338641500098674,0.17383571430575656
2026-03-20 16:06:00,4660.03,71.477,26.829006979527723,1.2045673744050873,-0.009340780195438046
2026-03-20 16:07:00,4662.06,71.526,26.824123421114315,1.9130965679350993,0.06583890949281329
2026-03-20 16:08:00,4663.84,71.469,26.833821391926456,5.221304012182372,0.41854432351014226
2026-03-20 16:09:00,4664.92,71.416,26.81633262304375,7.694023696896693,0.6780384769584968
2026-03-20 16:10:00,4656.58,71.007,26.795350670601508,10.272656674357677,0.9424018876863611
2026-03-20 16:11:00,4664.35,71.289,26.7515663257443,10.4106086677657,0.9394293238981231
2026-03-20 16:12:00,4657.08,71.088,26.72193233875006,8.450940985011584,0.7133587214131052
2026-03-20 16:13:00,4661.18,71.143,26.701558431677256,11.029914924240074,0.9782113069566551
2026-03-20 16:14:00,4662.07,71.22,26.65670730899694,9.784419895428073,0.8266170789708494
2026-03-20 16:15:00,4660.47,71.18,26.61891089272116,9.18163914219167,0.7480500261291636
2026-03-20 16:16:00,4658.39,71.038,26.583908287923105,10.811898257548819,0.9121191387790324
2026-03-20 16:17:00,4656.28,70.857,26.538112194501945,13.416854354622956,1.17321182156838
2026-03-20 16:18:00,4662.64,71.234,26.466893625750632,9.65852077479758,0.7449636202236408
2026-03-20 16:19:00,4664.8,71.265,26.433787834130836,10.937565921895839,0.8716415476062206
2026-03-20 16:20:00,4669.45,71.399,26.38272411474471,11.973589815062951,0.9679801177677266
2026-03-20 16:21:00,4668.27,71.489,26.33098861592838,8.350319436903192,0.5563519962531593
2026-03-20 16:22:00,4664.59,71.474,26.308686559162744,5.025565582482159,0.18098140003346838
2026-03-20 16:23:00,4663.17,71.38,26.309002669149603,6.0620952365779885,0.2953183869565513
2026-03-20 16:24:00,4662.51,71.438,26.312418716954046,3.8570093821945193,0.04248454101360624
2026-03-20 16:25:00,4663.0,71.472,26.330575983395885,3.4493523777082373,-0.004599968599488045
2026-03-20 16:26:00,4661.69,71.344,26.347505508384902,5.509378419831592,0.23348305068004763
2026-03-20 16:27:00,4660.47,71.287,26.35205346222148,5.775122721014668,0.26199130836178774
2026-03-20 16:28:00,4661.1,71.371,26.34539919656492,4.1665353958560445,0.06988750091646254
2026-03-20 16:29:00,4660.28,71.354,26.344884606010307,3.779534767444602,0.023146954755474312
2026-03-20 16:30:00,4656.29,71.325,26.348355575356962,0.5427068157396207,-0.3655673845847731
2026-03-20 16:31:00,4651.04,71.207,26.36083984038771,-1.5905788776635745,-0.6180956795915805
2026-03-20 16:32:00,4650.56,71.173,26.383307506838086,-1.1503533060667905,-0.556490199013379
2026-03-20 16:33:00,4642.96,71.042,26.39685782757209,-5.277294991476992,-1.045839685700356
2026-03-20 16:34:00,4645.8,71.086,26.422051120832442,-3.5557625865949376,-0.8186573855039496
2026-03-20 16:35:00,4648.05,71.18,26.44899444174391,-3.7543662979669534,-0.8290668273190231
2026-03-20 16:36:00,4657.04,71.416,26.471450183052923,-0.9800432867841664,-0.4774093984442299
2026-03-20 16:37:00,4655.06,71.346,26.469986260199548,-1.1048512440092964,-0.4869934836488651
2026-03-20 16:38:00,4652.24,71.304,26.467916195488563,-2.8108374501243816,-0.692451349444969
2026-03-20 16:39:00,4654.4,71.399,26.484409848279736,-3.146270384808304,-0.7238947341518691
2026-03-20 16:40:00,4655.27,71.445,26.48950608445573,-3.4817645619532414,-0.7547059456004571
2026-03-20 16:41:00,4656.88,71.508,26.49516522950754,-3.527048105792346,-0.748630369386603
2026-03-20 16:42:00,4659.37,71.543,26.505257861375885,-1.949281324356889,-0.5383159238707613
2026-03-20 16:43:00,4662.94,71.653,26.50631941899393,-1.288750114917093,-0.4471892198221994
2026-03-20 16:44:00,4662.62,71.596,26.493033185882474,-0.09947790008027368,-0.2884943246535059
2026-03-20 16:45:00,4660.39,71.598,26.486647153532303,-2.384672703171418,-0.5822312627472422
2026-03-20 16:46:00,4653.8,71.38,26.494184824769444,-3.18924205634994,-0.6790511308302273
2026-03-20 16:47:00,4654.24,71.363,26.506338136493248,-2.2813583669594664,-0.5505319131985289
2026-03-20 16:48:00,4655.35,71.508,26.51551910725172,-5.003292453796348,-0.8999439759016099
2026-03-20 16:49:00,4651.79,71.306,26.525207755530076,-3.185818850521173,-0.6458260246036323
2026-03-20 16:50:00,4644.19,71.048,26.53069673954614,-3.926933538409685,-0.7347295314439884
2026-03-20 16:51:00,4630.93,70.478,26.571119482453714,-1.990890694510199,-0.4655309662447204
2026-03-20 16:52:00,4627.58,70.384,26.578970295656845,-2.8210227491235855,-0.5717053682933758
2026-03-20 16:53:00,4624.68,70.554,26.597540915215856,-10.2001158230687,-1.536316249169333
2026-03-20 16:54:00,4622.07,70.635,26.674407593408176,-14.820090491502015,-2.049444691546815
2026-03-20 16:55:00,4621.07,70.522,26.767937062936355,-12.605558350637693,-1.6894873406088098
2026-03-20 16:56:00,4624.84,70.415,26.850054749992132,-5.789394540594003,-0.7982437447627025
2026-03-20 16:57:00,4622.17,70.255,26.885285951093195,-4.076482183203552,-0.5692241646775925
2026-03-20 16:58:00,4614.39,70.0,26.901227143568832,-4.947694314761975,-0.6726614913367706
2026-03-20 16:59:00,4616.61,70.203,26.92735841330923,-8.117949137505093,-1.0640435211326364
2026-03-20 17:00:00,4618.01,70.15,26.967904768528932,-5.178847740175115,-0.6703553775494057
2026-03-20 17:01:00,4610.68,69.98,26.981931660519535,-7.870673200764941,-1.0031409983468662
2026-03-20 17:02:00,4618.28,70.25,27.03805830074998,-7.4244516569751795,-0.9269409025790841
2026-03-20 17:03:00,4615.79,70.124,27.087584118010078,-6.38675814203998,-0.7778722693342033
2026-03-20 17:04:00,4615.46,70.042,27.138129057868746,-4.373575354501554,-0.5059084738365791
2026-03-20 17:05:00,4619.04,70.195,27.165741294891554,-4.878128474168079,-0.565397940633779
2026-03-20 17:06:00,4618.16,70.218,27.196196308618497,-6.310415530273531,-0.7452104164463035
