entry_idx,exit_idx,pnl,mae,mfe
39321,39323,-9.739999999999782,27.5,4.5700000000006185
39326,39330,5.969999999999345,7.5,15.969999999999345
39334,39336,-8.63000000000011,23.030000000000655,7.039999999999964
39368,39374,-4.079999999999927,13.739999999999782,5.920000000000073
39398,39408,15.1899999999996,9.930000000000291,25.1899999999996
39410,39412,-8.829999999999927,12.970000000000255,5.220000000000255
39418,39425,7.949999999999818,12.569999999999709,17.949999999999818
39437,39439,6.890000000000327,10.539999999999964,21.829999999999927
39444,39446,-6.079999999999927,10.740000000000691,8.659999999999854
39448,39449,-10.0,35.72999999999956,5.5600000000004
39483,39486,1.5100000000002183,11.670000000000073,11.510000000000218
39596,39599,0.8699999999998909,10.720000000000255,10.86999999999989
39689,39691,-8.409999999999854,14.5,5.359999999999673
39735,39737,-2.880000000000109,13.029999999999745,7.119999999999891
39744,39745,-10.0,11.1899999999996,7.030000000000655
39753,39756,1.3900000000003274,9.970000000000255,11.390000000000327
39766,39767,-10.0,22.86999999999989,1.4899999999997817
39797,39799,-3.980000000000473,26.909999999999854,6.069999999999709
39830,39833,31.850000000000364,9.13000000000011,43.710000000000036
39857,39859,0.8400000000001455,9.770000000000437,10.840000000000146
39885,39891,89.01999999999953,9.400000000000546,99.01999999999953
39892,39893,-10.0,13.0600000000004,11.039999999999964
39899,39901,-9.110000000000582,17.270000000000437,3.399999999999636
39922,39927,34.039999999999964,15.139999999999418,44.840000000000146
39929,39931,18.409999999999854,17.080000000000837,37.6299999999992
40021,40023,-8.669999999999163,12.449999999999818,2.160000000000764
40031,40033,-1.6700000000000728,8.039999999999964,8.329999999999927
40064,40066,-9.149999999999636,17.279999999999745,1.9600000000000364
40081,40085,8.719999999999345,14.660000000000764,29.849999999999454
40095,40097,-9.899999999999636,14.329999999999927,0.7100000000000364
40124,40126,-9.659999999999854,10.479999999999563,2.2399999999997817
40134,40137,-7.180000000000291,9.029999999999745,3.4799999999995634
40142,40145,23.539999999999964,16.100000000000364,35.01999999999953
40509,40510,-10.0,35.30999999999949,5.4099999999998545
40614,40616,-1.2200000000002547,13.0,8.779999999999745
40663,40665,0.8400000000001455,12.4399999999996,10.840000000000146
40675,40681,-7.9299999999993815,18.86999999999989,2.0700000000006185
40700,40703,14.470000000000255,31.230000000000473,24.470000000000255
40715,40716,-10.0,28.6899999999996,5.130000000000109
40742,40743,-10.0,33.63000000000011,16.07000000000062
40748,40749,-10.0,20.460000000000036,4.5
40750,40751,-10.0,16.800000000000182,1.5399999999999636
40769,40770,-10.0,17.43000000000029,5.539999999999964
40821,40822,-10.0,21.36999999999989,1.3500000000003638
40823,40825,39.960000000000036,14.760000000000218,55.849999999999454
40835,40836,-10.0,22.409999999999854,2.8400000000001455
40839,40841,28.079999999999927,8.150000000000546,38.07999999999993
40842,40843,-10.0,32.900000000000546,3.2299999999995634
40844,40845,-10.0,23.5600000000004,4.479999999999563
40924,40928,11.590000000000146,8.529999999999745,23.06999999999971
40934,40936,-5.280000000000655,28.88000000000011,4.849999999999454
40968,40974,26.899999999999636,9.800000000000182,36.899999999999636
40975,40977,-6.420000000000073,21.220000000000255,14.050000000000182
41087,41089,7.829999999999927,21.420000000000073,17.829999999999927
41093,41095,-0.38000000000010914,22.98999999999978,11.38000000000011
41227,41231,11.159999999999854,12.5600000000004,21.159999999999854
41237,41240,5.079999999999927,19.710000000000036,15.079999999999927
41299,41301,4.899999999999636,11.930000000000291,14.899999999999636
41340,41342,-5.449999999999818,11.599999999999454,4.960000000000036
41377,41380,8.5600000000004,14.05999999999949,18.5600000000004
41402,41404,-8.909999999999854,12.969999999999345,2.740000000000691
41478,41481,3.7600000000002183,10.850000000000364,13.760000000000218
41525,41529,2.5200000000004366,12.510000000000218,12.520000000000437
41537,41538,-10.0,45.38999999999942,13.670000000000073
41539,41540,-10.0,27.710000000000036,0.75
41837,41844,3.069999999999709,13.0,13.069999999999709
41851,41854,0.6700000000000728,11.569999999999709,10.670000000000073
41943,41946,-4.260000000000218,9.710000000000036,5.739999999999782
41948,41955,16.149999999999636,9.840000000000146,26.149999999999636
42001,42007,8.539999999999964,12.300000000000182,18.539999999999964
42014,42017,5.289999999999964,13.36999999999989,15.289999999999964
42067,42069,-1.5299999999997453,11.350000000000364,8.470000000000255
42081,42084,-4.279999999999745,12.640000000000327,5.720000000000255
42088,42091,-6.900000000000546,11.63000000000011,3.0999999999994543
42142,42145,1.0800000000008367,10.969999999999345,11.080000000000837
42185,42189,-1.0399999999999636,20.68000000000029,8.960000000000036
42192,42194,-0.1000000000003638,6.700000000000728,9.899999999999636
42196,42197,-10.0,14.829999999999927,6.1599999999998545
42202,42204,-3.2899999999999636,15.550000000000182,6.710000000000036
42467,42471,-7.650000000000546,15.930000000000291,2.3499999999994543
42473,42474,-10.0,11.510000000000218,1.4899999999997817
42517,42521,-7.1899999999996,12.0600000000004,2.8100000000004
42546,42548,-1.2799999999997453,13.920000000000073,8.720000000000255
42617,42624,2.519999999999527,9.760000000000218,12.519999999999527
42687,42694,1.1000000000003638,8.640000000000327,11.100000000000364
42793,42801,7.980000000000473,10.179999999999382,17.980000000000473
42918,42920,-4.170000000000073,7.589999999999236,6.600000000000364
